date,FIPS,county,tmmx_C,tmmn_C,rh_mean,vs_2m
1986-01-01,44001,Bristol,6.3292,-3.7514,53.6765,4.1174
1986-01-02,44001,Bristol,5.6253,-3.8142,49.1501,4.0627
1986-01-03,44001,Bristol,8.1907,-0.7405,63.8266,3.5471
1986-01-04,44001,Bristol,4.7146,-4.2958,40.5725,4.0057
1986-01-05,44001,Bristol,7.3589,-2.6356,61.3332,5.2515
1986-01-06,44001,Bristol,2.3674,-4.6331,37.5254,8.4973
1986-01-07,44001,Bristol,-1.5227,-11.3545,27.7419,6.6861
1986-01-08,44001,Bristol,-3.5498,-14.3246,35.0726,6.6874
1986-01-09,44001,Bristol,2.8433,-9.431,48.2676,8.0913
1986-01-10,44001,Bristol,6.1598,-2.5176,43.423,5.7184
1986-01-11,44001,Bristol,1.8991,-4.4695,42.2185,3.269
1986-01-12,44001,Bristol,8.2721,-4.1555,56.2355,6.4013
1986-01-13,44001,Bristol,7.5949,-2.5396,49.9481,3.3341
1986-01-14,44001,Bristol,0.3973,-11.0098,22.9174,5.9053
1986-01-15,44001,Bristol,-6.5592,-15.6356,29.5574,6.7181
1986-01-16,44001,Bristol,0.846,-10.5191,32.7083,2.6824
1986-01-17,44001,Bristol,9.2919,-6.1475,59.3929,4.2698
1986-01-18,44001,Bristol,9.6142,0.6759,62.3626,3.5125
1986-01-19,44001,Bristol,13.6068,0.2898,72.2916,3.8866
1986-01-20,44001,Bristol,14.9982,2.1764,60.4293,5.0895
1986-01-21,44001,Bristol,8.0514,-1.261,54.884,4.6548
1986-01-22,44001,Bristol,10.5759,-1.4577,56.7335,3.7872
1986-01-23,44001,Bristol,6.4388,-3.8356,38.5162,4.2636
1986-01-24,44001,Bristol,-0.2477,-7.3995,36.9107,4.7707
1986-01-25,44001,Bristol,4.437,-7.1643,64.8595,6.1725
1986-01-26,44001,Bristol,6.4322,0.964,66.9593,7.1994
1986-01-27,44001,Bristol,10.7321,-0.4503,59.9671,4.8594
1986-01-28,44001,Bristol,3.0911,-9.3754,45.8139,6.6057
1986-01-29,44001,Bristol,-1.8564,-11.074,52.4894,3.3175
1986-01-30,44001,Bristol,-0.7331,-8.7241,59.7735,5.0997
1986-01-31,44001,Bristol,0.7441,-8.669,56.2798,5.3281
1986-02-01,44001,Bristol,1.1891,-8.081,58.1369,2.919
1986-02-02,44001,Bristol,5.6649,-1.4212,66.4485,4.9364
1986-02-03,44001,Bristol,2.0307,-3.8507,58.1319,3.6519
1986-02-04,44001,Bristol,2.6966,-4.8872,65.7065,3.9525
1986-02-05,44001,Bristol,5.2077,-0.7077,67.7728,2.56
1986-02-06,44001,Bristol,1.9914,-7.3492,51.0099,5.3525
1986-02-07,44001,Bristol,-0.647,-8.7134,61.9201,5.8792
1986-02-08,44001,Bristol,0.8914,-4.7264,61.5517,2.6633
1986-02-09,44001,Bristol,1.5141,-7.8683,58.6051,3.7511
1986-02-10,44001,Bristol,3.0831,-5.5076,58.8852,3.3312
1986-02-11,44001,Bristol,1.2837,-3.6901,65.1306,4.4991
1986-02-12,44001,Bristol,-0.1131,-7.656,55.1975,4.8506
1986-02-13,44001,Bristol,-1.9131,-9.1731,54.2623,5.8528
1986-02-14,44001,Bristol,1.0342,-9.6778,60.8121,4.0639
1986-02-15,44001,Bristol,0.9916,-4.988,60.6348,4.4287
1986-02-16,44001,Bristol,-0.1778,-8.1809,56.8653,4.0279
1986-02-17,44001,Bristol,3.1976,-4.2632,72.4813,2.6077
1986-02-18,44001,Bristol,3.5551,-0.1049,70.6183,3.5349
1986-02-19,44001,Bristol,3.9784,-0.4931,66.0358,4.7202
1986-02-20,44001,Bristol,4.0976,-1.4195,66.7055,3.1231
1986-02-21,44001,Bristol,6.2408,-1.2212,70.0724,3.1575
1986-02-22,44001,Bristol,5.9285,-1.5991,48.8975,5.2088
1986-02-23,44001,Bristol,4.4077,-1.4952,53.23,2.405
1986-02-24,44001,Bristol,4.3707,-2.8012,50.2808,2.3737
1986-02-25,44001,Bristol,2.3765,-5.0069,50.2838,5.3034
1986-02-26,44001,Bristol,-1.9784,-9.1197,35.4721,6.9583
1986-02-27,44001,Bristol,0.6707,-9.333,38.5741,3.1142
1986-02-28,44001,Bristol,2.2407,-7.977,46.6155,4.3218
1986-03-01,44001,Bristol,4.6234,-4.5309,42.9427,2.7426
1986-03-02,44001,Bristol,4.4381,-2.6354,46.8033,3.8566
1986-03-03,44001,Bristol,6.227,-2.1945,48.0868,1.4398
1986-03-04,44001,Bristol,7.6696,-0.1501,51.4408,1.1219
1986-03-05,44001,Bristol,9.7741,0.3503,48.1368,2.4983
1986-03-06,44001,Bristol,6.9583,-0.301,57.7515,3.2905
1986-03-07,44001,Bristol,5.2651,-9.0945,32.8083,9.9736
1986-03-08,44001,Bristol,-2.587,-14.4804,28.4043,6.6322
1986-03-09,44001,Bristol,5.6442,-7.2973,53.859,3.585
1986-03-10,44001,Bristol,8.9175,-0.9387,60.0508,4.1472
1986-03-11,44001,Bristol,18.0169,0.099,44.315,6.8533
1986-03-12,44001,Bristol,7.8887,-2.5547,51.3417,2.3863
1986-03-13,44001,Bristol,7.7385,1.0314,69.9585,3.2161
1986-03-14,44001,Bristol,11.1635,3.6515,70.7659,2.0887
1986-03-15,44001,Bristol,13.9101,4.4586,56.5891,3.5673
1986-03-16,44001,Bristol,12.2193,2.4727,61.4481,1.712
1986-03-17,44001,Bristol,10.8663,2.1403,54.2008,2.3021
1986-03-18,44001,Bristol,11.2325,1.7503,51.3517,3.0103
1986-03-19,44001,Bristol,14.6937,1.0612,72.6951,7.9672
1986-03-20,44001,Bristol,10.6227,-3.8408,48.0485,5.6004
1986-03-21,44001,Bristol,-0.5881,-8.9133,33.9393,3.5983
1986-03-22,44001,Bristol,3.9944,-6.048,37.5268,1.8478
1986-03-23,44001,Bristol,8.2436,-3.1915,48.7752,3.0607
1986-03-24,44001,Bristol,10.7714,-1.4834,42.5786,4.4066
1986-03-25,44001,Bristol,11.4054,-1.1022,49.5959,4.5143
1986-03-26,44001,Bristol,19.5214,3.0969,53.6919,6.3258
1986-03-27,44001,Bristol,18.4005,5.0918,62.5244,3.5092
1986-03-28,44001,Bristol,15.0157,4.199,53.375,3.3662
1986-03-29,44001,Bristol,17.4994,2.8404,51.0141,5.9508
1986-03-30,44001,Bristol,19.7987,3.3553,47.8207,5.1128
1986-03-31,44001,Bristol,19.4428,5.2819,38.0203,2.8142
1986-04-01,44001,Bristol,18.0498,3.8745,46.4022,2.6765
1986-04-02,44001,Bristol,21.7915,3.6742,53.0243,2.7009
1986-04-03,44001,Bristol,13.3017,2.8289,46.1999,3.1739
1986-04-04,44001,Bristol,11.4499,0.5245,65.9746,2.4733
1986-04-05,44001,Bristol,9.9395,2.4837,59.2979,4.8717
1986-04-06,44001,Bristol,7.2428,2.3756,77.2302,5.0745
1986-04-07,44001,Bristol,17.4054,6.6193,64.4527,1.6539
1986-04-08,44001,Bristol,14.404,6.6489,74.3057,2.7709
1986-04-09,44001,Bristol,12.8412,4.0898,61.1764,1.9791
1986-04-10,44001,Bristol,11.2026,6.3147,55.173,3.9155
1986-04-11,44001,Bristol,7.4026,3.524,59.56,3.4311
1986-04-12,44001,Bristol,9.4697,3.3659,57.4024,2.7611
1986-04-13,44001,Bristol,12.3078,1.0819,52.7542,3.0583
1986-04-14,44001,Bristol,15.1919,2.5217,51.5186,1.1323
