date,FIPS,county,tmmx_C,tmmn_C,rh_mean,vs_2m
1986-01-01,44003,Kent,5.2704,-5.3038,50.8808,3.8554
1986-01-02,44003,Kent,4.5567,-5.2855,47.5364,3.7295
1986-01-03,44003,Kent,8.1024,-1.9564,60.0937,3.093
1986-01-04,44003,Kent,4.0548,-5.7811,39.5557,3.6305
1986-01-05,44003,Kent,6.5483,-4.2353,59.2422,4.781
1986-01-06,44003,Kent,1.1694,-6.6584,37.598,7.843
1986-01-07,44003,Kent,-2.712,-13.0263,28.854,6.2397
1986-01-08,44003,Kent,-4.5113,-16.0436,36.5329,5.9657
1986-01-09,44003,Kent,1.7719,-11.1975,45.2198,7.2828
1986-01-10,44003,Kent,5.0529,-4.2282,41.6954,5.0274
1986-01-11,44003,Kent,1.2879,-6.2228,40.8801,2.9479
1986-01-12,44003,Kent,7.3094,-5.8906,54.2633,5.8137
1986-01-13,44003,Kent,6.367,-4.4612,48.1168,3.3082
1986-01-14,44003,Kent,-0.7605,-12.4551,22.1958,5.3722
1986-01-15,44003,Kent,-7.1002,-17.2208,27.7573,6.0456
1986-01-16,44003,Kent,0.2771,-11.5751,31.971,2.3114
1986-01-17,44003,Kent,8.3389,-7.2816,56.9677,3.7526
1986-01-18,44003,Kent,8.8946,-0.2979,59.6047,3.1545
1986-01-19,44003,Kent,13.8247,-0.3916,70.2435,3.4121
1986-01-20,44003,Kent,13.6745,0.7597,60.9782,4.635
1986-01-21,44003,Kent,7.2771,-2.3386,51.6545,4.193
1986-01-22,44003,Kent,9.9759,-2.6986,53.3293,3.6096
1986-01-23,44003,Kent,5.6325,-5.5977,35.483,3.7192
1986-01-24,44003,Kent,-1.2133,-9.3889,35.688,3.9836
1986-01-25,44003,Kent,4.5877,-9.2521,61.6001,5.7543
1986-01-26,44003,Kent,7.4217,0.4835,66.3081,5.9853
1986-01-27,44003,Kent,9.457,-2.6213,60.9443,4.0238
1986-01-28,44003,Kent,1.7977,-11.7558,42.0254,6.4125
1986-01-29,44003,Kent,-2.8528,-13.0923,49.4671,2.953
1986-01-30,44003,Kent,-1.7317,-9.7588,56.3429,4.2335
1986-01-31,44003,Kent,0.1977,-9.7064,52.3894,4.8553
1986-02-01,44003,Kent,1.0209,-9.1166,56.9653,2.6148
1986-02-02,44003,Kent,5.9126,-2.793,65.3739,4.4062
1986-02-03,44003,Kent,1.8224,-5.2789,54.5959,3.1414
