date,FIPS,county,tmmx_C,tmmn_C,rh_mean,vs_2m
1986-01-01,44005,Newport,6.5458,-3.5681,53.7586,4.7197
1986-01-02,44005,Newport,5.884,-3.5805,50.4602,4.6469
1986-01-03,44005,Newport,8.9099,0.147,63.19,4.2461
1986-01-04,44005,Newport,5.2622,-4.2842,41.1924,4.2987
1986-01-05,44005,Newport,7.7201,-2.6378,62.1728,6.1541
1986-01-06,44005,Newport,2.7319,-4.6575,39.9068,9.4426
1986-01-07,44005,Newport,-1.1056,-11.2413,31.0316,7.0301
1986-01-08,44005,Newport,-3.1593,-14.052,39.3493,7.0913
1986-01-09,44005,Newport,3.3335,-9.1107,49.7662,9.1602
1986-01-10,44005,Newport,6.3979,-1.9029,43.9264,6.7391
1986-01-11,44005,Newport,2.5612,-4.3037,41.5557,3.4487
1986-01-12,44005,Newport,8.3904,-3.7955,57.7063,7.0412
1986-01-13,44005,Newport,7.6194,-2.4746,50.7377,3.7267
1986-01-14,44005,Newport,0.8417,-10.9329,25.3353,5.9848
1986-01-15,44005,Newport,-5.802,-15.5816,33.9512,7.2466
1986-01-16,44005,Newport,1.1659,-9.9691,34.8381,3.0188
1986-01-17,44005,Newport,9.4217,-5.0327,60.1363,4.6338
1986-01-18,44005,Newport,9.696,1.3173,63.0225,3.7523
1986-01-19,44005,Newport,13.3346,1.0925,73.1653,4.3301
1986-01-20,44005,Newport,13.9195,2.2254,63.537,5.5396
1986-01-21,44005,Newport,8.031,-0.7863,54.6492,5.2446
1986-01-22,44005,Newport,10.3134,-1.0507,57.7499,3.9958
1986-01-23,44005,Newport,6.911,-3.8078,38.2535,4.49
1986-01-24,44005,Newport,0.2049,-7.1792,38.8026,4.9987
1986-01-25,44005,Newport,5.4038,-6.9657,63.4877,7.0403
1986-01-26,44005,Newport,7.4673,1.5799,67.4398,7.7028
1986-01-27,44005,Newport,10.2987,-0.4365,62.7166,4.9411
1986-01-28,44005,Newport,3.5212,-9.2079,45.5184,7.3284
1986-01-29,44005,Newport,-1.3284,-10.6735,50.6308,3.6971
1986-01-30,44005,Newport,-0.4649,-7.9624,59.3141,5.4297
1986-01-31,44005,Newport,1.2102,-7.6994,53.786,6.0512
1986-02-01,44005,Newport,2.0022,-7.3493,55.7565,3.1255
1986-02-02,44005,Newport,6.2593,-1.0119,67.6876,5.6449
1986-02-03,44005,Newport,2.3556,-3.5884,56.1448,3.7639
1986-02-04,44005,Newport,3.3759,-4.1962,64.5031,4.6171
1986-02-05,44005,Newport,5.5126,-0.2517,69.0364,2.9799
1986-02-06,44005,Newport,2.7471,-6.7828,50.3876,5.4646
1986-02-07,44005,Newport,-0.1601,-8.1613,63.1814,6.35
1986-02-08,44005,Newport,1.2039,-4.4913,62.2683,2.895
1986-02-09,44005,Newport,1.7452,-7.0427,57.7835,4.251
1986-02-10,44005,Newport,3.3744,-4.7582,57.551,3.7572
1986-02-11,44005,Newport,1.537,-3.6248,66.0285,4.8556
1986-02-12,44005,Newport,0.089,-7.3065,54.5162,5.3462
1986-02-13,44005,Newport,-1.676,-8.7489,53.7856,6.6346
1986-02-14,44005,Newport,1.395,-8.9034,60.3365,4.5844
1986-02-15,44005,Newport,1.1499,-4.8412,60.2431,4.8993
1986-02-16,44005,Newport,0.0176,-7.889,55.416,4.4234
1986-02-17,44005,Newport,3.929,-3.9969,73.3063,3.066
1986-02-18,44005,Newport,4.0829,0.0178,71.5282,3.7564
1986-02-19,44005,Newport,4.1487,-0.3599,66.6762,4.8845
1986-02-20,44005,Newport,4.4508,-0.8788,66.3734,3.6972
1986-02-21,44005,Newport,6.8273,-0.6458,72.2185,3.6401
1986-02-22,44005,Newport,5.965,-1.341,49.7588,5.2994
1986-02-23,44005,Newport,4.5253,-1.2606,53.6183,2.61
1986-02-24,44005,Newport,4.2746,-2.7278,49.5988,2.6117
1986-02-25,44005,Newport,2.4619,-5.0579,51.7242,5.5644
1986-02-26,44005,Newport,-1.8162,-9.0748,40.2858,7.5803
1986-02-27,44005,Newport,0.61,-8.6718,41.8689,3.373
1986-02-28,44005,Newport,2.3379,-8.1579,49.3134,4.8467
1986-03-01,44005,Newport,4.5727,-5.0879,46.2409,2.9855
1986-03-02,44005,Newport,4.193,-2.9762,50.3863,4.1653
1986-03-03,44005,Newport,6.0628,-2.3364,50.3081,1.5052
1986-03-04,44005,Newport,7.3254,-0.3496,55.0266,1.1108
1986-03-05,44005,Newport,9.307,0.1964,51.8128,2.6779
1986-03-06,44005,Newport,6.8466,-0.4683,60.6771,3.5237
1986-03-07,44005,Newport,5.6591,-9.2501,37.0739,10.9735
1986-03-08,44005,Newport,-2.4594,-14.6206,33.9797,7.1216
1986-03-09,44005,Newport,5.8545,-7.4227,56.1748,4.1509
1986-03-10,44005,Newport,8.6857,-1.161,64.1812,4.5999
1986-03-11,44005,Newport,16.3179,-0.1324,50.9594,7.5099
1986-03-12,44005,Newport,7.5596,-2.6185,53.9062,2.5336
1986-03-13,44005,Newport,7.7373,0.7418,73.3023,3.6291
1986-03-14,44005,Newport,10.7183,3.0192,75.189,2.1475
1986-03-15,44005,Newport,13.0654,4.1803,61.3841,4.1853
1986-03-16,44005,Newport,11.7985,2.3482,64.8221,1.7098
1986-03-17,44005,Newport,10.345,1.8632,57.6955,2.2398
1986-03-18,44005,Newport,10.6141,1.5752,55.7457,3.241
1986-03-19,44005,Newport,13.5447,1.0519,77.3182,8.3661
1986-03-20,44005,Newport,10.5753,-4.0826,50.947,6.0176
1986-03-21,44005,Newport,-0.6632,-9.2535,37.4999,3.6904
1986-03-22,44005,Newport,3.8691,-6.104,39.5576,1.95
1986-03-23,44005,Newport,7.77,-3.007,52.3494,3.0334
1986-03-24,44005,Newport,10.3685,-1.391,45.7231,4.8321
1986-03-25,44005,Newport,10.8583,-1.0481,53.4982,4.5383
1986-03-26,44005,Newport,17.5848,3.0304,59.2153,6.4167
1986-03-27,44005,Newport,16.7813,4.9254,66.8993,3.7015
1986-03-28,44005,Newport,13.8853,3.8821,57.4236,3.6406
1986-03-29,44005,Newport,15.8326,2.6918,56.022,6.1234
1986-03-30,44005,Newport,17.833,3.3882,53.1522,5.1451
1986-03-31,44005,Newport,18.8765,5.185,40.3535,2.8925
1986-04-01,44005,Newport,16.4984,4.1706,50.8861,2.4361
1986-04-02,44005,Newport,20.2568,3.8823,57.639,2.7087
1986-04-03,44005,Newport,12.4693,2.8472,50.6071,3.2161
1986-04-04,44005,Newport,10.8246,0.9016,69.9349,2.2993
1986-04-05,44005,Newport,9.627,2.0716,62.9741,5.1594
1986-04-06,44005,Newport,7.6888,1.9947,79.4475,5.737
1986-04-07,44005,Newport,16.0854,6.1962,69.365,2.0012
1986-04-08,44005,Newport,13.5533,6.1075,78.9037,2.6284
1986-04-09,44005,Newport,12.194,4.0554,66.0993,2.3382
1986-04-10,44005,Newport,10.7975,5.6454,59.6984,4.5631
1986-04-11,44005,Newport,7.3866,3.3441,61.1212,3.7526
1986-04-12,44005,Newport,9.3833,3.195,60.1419,3.2575
1986-04-13,44005,Newport,11.7132,1.4293,56.281,3.0618
1986-04-14,44005,Newport,14.3308,2.7362,55.9777,1.1086
1986-04-15,44005,Newport,14.5371,3.6231,54.476,1.7697
1986-04-16,44005,Newport,12.727,4.9821,60.4513,4.655
1986-04-17,44005,Newport,13.0499,5.5087,60.615,6.1284
1986-04-18,44005,Newport,11.1796,2.627,67.5482,8.7669
1986-04-19,44005,Newport,12.0897,0.9196,53.0371,6.4037
1986-04-20,44005,Newport,15.2762,0.1662,50.3506,1.9221
1986-04-21,44005,Newport,13.2573,5.0868,85.0807,4.505
1986-04-22,44005,Newport,16.2773,9.0029,67.3426,1.9208
1986-04-23,44005,Newport,10.2395,4.4683,77.6238,5.4441
1986-04-24,44005,Newport,11.5714,4.5258,67.047,5.0781
1986-04-25,44005,Newport,15.1056,5.474,75.8838,6.5008
1986-04-26,44005,Newport,16.8691,7.928,75.2033,3.0025
1986-04-27,44005,Newport,16.1643,9.4622,74.589,4.2928
1986-04-28,44005,Newport,17.1678,9.4538,70.6654,2.5783
1986-04-29,44005,Newport,18.2109,7.6912,70.2167,1.5531
1986-04-30,44005,Newport,17.1306,10.299,68.7225,1.2763
1986-05-01,44005,Newport,18.7377,9.531,63.3853,3.9176
1986-05-02,44005,Newport,16.0163,5.7819,52.9115,5.3055
1986-05-03,44005,Newport,11.0431,3.6542,42.3597,5.485
1986-05-04,44005,Newport,11.4472,1.2619,47.4172,4.4345
1986-05-05,44005,Newport,19.492,5.6818,60.5898,5.3177
1986-05-06,44005,Newport,21.4258,9.197,58.133,2.2987
1986-05-07,44005,Newport,18.5274,8.1541,65.7663,2.4904
1986-05-08,44005,Newport,14.0996,6.6117,66.7626,5.168
1986-05-09,44005,Newport,11.6644,3.6438,61.3909,6.7849
1986-05-10,44005,Newport,16.5922,2.492,49.3164,4.1934
1986-05-11,44005,Newport,12.9643,2.7794,62.0164,5.0018
1986-05-12,44005,Newport,10.5599,4.4829,69.1283,7.0009
1986-05-13,44005,Newport,17.1872,6.832,47.4216,3.1096
