date,FIPS,county,tmmx_C,tmmn_C,rh_mean,vs_2m
1986-01-01,44007,Providence,4.9421,-4.7377,48.9372,3.5326
1986-01-02,44007,Providence,4.0837,-4.8147,45.1086,3.3482
1986-01-03,44007,Providence,7.625,-1.9802,62.4737,2.7634
1986-01-04,44007,Providence,3.5275,-6.1131,38.8636,3.3364
1986-01-05,44007,Providence,5.0387,-4.485,61.1925,4.1831
1986-01-06,44007,Providence,0.6316,-7.2379,41.3103,7.1082
1986-01-07,44007,Providence,-3.3965,-13.3911,30.2464,5.7704
1986-01-08,44007,Providence,-4.8678,-16.1922,37.259,5.3822
1986-01-09,44007,Providence,1.4399,-11.7687,42.6941,6.519
1986-01-10,44007,Providence,4.5779,-5.0206,42.1024,4.2974
1986-01-11,44007,Providence,1.5111,-6.5964,40.4316,2.6359
1986-01-12,44007,Providence,6.9387,-6.651,53.8811,5.2535
1986-01-13,44007,Providence,6.0108,-4.5296,48.1107,3.1094
1986-01-14,44007,Providence,-0.9778,-13.0719,22.4459,5.0076
1986-01-15,44007,Providence,-7.6874,-17.5166,28.1164,5.5054
1986-01-16,44007,Providence,-0.1732,-12.7032,30.1408,2.0534
1986-01-17,44007,Providence,7.4591,-8.2973,59.0275,3.5254
1986-01-18,44007,Providence,8.4234,-0.4112,60.0209,3.231
1986-01-19,44007,Providence,12.744,-0.1713,73.4008,2.8366
1986-01-20,44007,Providence,14.5181,0.7601,61.4755,4.1082
1986-01-21,44007,Providence,7.1957,-2.2259,52.7388,3.8877
1986-01-22,44007,Providence,9.9591,-2.6718,52.8254,3.4588
1986-01-23,44007,Providence,5.6703,-5.7996,34.4337,3.2356
1986-01-24,44007,Providence,-1.4854,-9.6331,35.1236,3.3097
1986-01-25,44007,Providence,4.336,-9.6309,62.5412,5.0161
1986-01-26,44007,Providence,8.0837,0.364,68.8802,5.2123
1986-01-27,44007,Providence,9.9153,-2.5391,62.225,3.6242
1986-01-28,44007,Providence,1.8092,-11.9833,42.4098,5.9938
1986-01-29,44007,Providence,-3.1662,-13.7127,50.5446,2.5685
1986-01-30,44007,Providence,-1.6532,-9.9864,56.8466,3.5259
1986-01-31,44007,Providence,-0.1129,-10.2703,54.063,4.3151
1986-02-01,44007,Providence,-0.1641,-9.9935,58.8805,2.242
1986-02-02,44007,Providence,5.3192,-3.4193,67.6851,3.9015
1986-02-03,44007,Providence,1.4344,-5.7285,56.1745,2.7833
1986-02-04,44007,Providence,1.4305,-7.3336,64.4836,3.0672
1986-02-05,44007,Providence,4.2069,-2.3661,69.7213,2.0109
1986-02-06,44007,Providence,1.4368,-10.1893,51.9367,4.1791
1986-02-07,44007,Providence,-1.8285,-11.4892,60.4358,4.0888
1986-02-08,44007,Providence,-0.3649,-7.0291,62.27,1.9562
1986-02-09,44007,Providence,0.7486,-9.909,58.8631,2.8246
1986-02-10,44007,Providence,2.4809,-7.4231,59.8452,2.5585
1986-02-11,44007,Providence,0.1935,-5.7856,64.5291,2.991
1986-02-12,44007,Providence,-0.8825,-9.8362,54.307,3.9271
1986-02-13,44007,Providence,-2.6409,-10.6472,53.8322,4.5262
1986-02-14,44007,Providence,-0.3054,-11.6885,60.4909,3.3423
1986-02-15,44007,Providence,0.2277,-6.6794,58.7737,3.3813
1986-02-16,44007,Providence,-0.9163,-9.59,56.5652,3.0144
1986-02-17,44007,Providence,2.5883,-6.3874,72.6753,2.5896
1986-02-18,44007,Providence,2.8876,-2.0,72.2621,3.0129
1986-02-19,44007,Providence,2.9187,-2.1333,68.4721,3.0488
1986-02-20,44007,Providence,3.0566,-2.7284,67.3447,2.3088
1986-02-21,44007,Providence,6.0125,-2.5207,71.8515,2.7576
1986-02-22,44007,Providence,4.4608,-3.6664,49.3145,4.0196
1986-02-23,44007,Providence,3.2493,-3.0711,53.1859,1.6945
1986-02-24,44007,Providence,3.4081,-4.408,47.3873,2.0321
1986-02-25,44007,Providence,1.3742,-6.866,47.7813,4.7166
1986-02-26,44007,Providence,-3.1114,-11.761,35.5793,5.9913
1986-02-27,44007,Providence,-0.2114,-11.3383,34.4112,2.7079
1986-02-28,44007,Providence,1.5642,-9.9432,43.0365,3.6887
1986-03-01,44007,Providence,4.2985,-6.0214,40.2728,2.4002
1986-03-02,44007,Providence,3.6314,-4.242,44.7538,3.077
1986-03-03,44007,Providence,5.8474,-2.906,43.8968,1.2849
1986-03-04,44007,Providence,7.2465,-1.2093,47.6864,1.1344
1986-03-05,44007,Providence,9.0313,-0.8663,46.7088,2.3912
1986-03-06,44007,Providence,6.4885,-1.4263,55.3823,3.0579
1986-03-07,44007,Providence,4.8957,-11.3787,30.4194,8.8519
1986-03-08,44007,Providence,-3.3221,-16.427,29.7674,5.636
1986-03-09,44007,Providence,4.6928,-9.5805,53.3483,2.6914
1986-03-10,44007,Providence,8.397,-2.5472,59.7362,3.6197
1986-03-11,44007,Providence,17.0921,-1.5983,47.1453,6.2385
1986-03-12,44007,Providence,7.8411,-3.2587,46.5281,1.8804
1986-03-13,44007,Providence,7.0774,-0.1266,67.0892,3.0653
1986-03-14,44007,Providence,10.6612,1.746,69.0465,2.3645
1986-03-15,44007,Providence,13.7618,3.2981,54.0908,2.933
1986-03-16,44007,Providence,11.8067,1.9664,57.3772,1.724
1986-03-17,44007,Providence,10.7339,1.2242,50.2586,1.9636
1986-03-18,44007,Providence,11.1758,1.2362,46.3792,2.6528
1986-03-19,44007,Providence,16.6549,0.5137,70.3121,7.081
1986-03-20,44007,Providence,13.2481,-6.3675,38.3187,5.628
1986-03-21,44007,Providence,-0.6303,-11.182,30.6036,3.0335
1986-03-22,44007,Providence,3.8359,-7.8636,35.0032,1.8836
1986-03-23,44007,Providence,8.4167,-3.8809,43.5347,3.2268
1986-03-24,44007,Providence,9.2495,-2.6858,39.9491,4.1632
