date,FIPS,county,tmmx_C,tmmn_C,rh_mean,vs_2m
1986-01-01,44009,Washington,6.1177,-4.7948,52.1552,4.2227
1986-01-02,44009,Washington,5.479,-4.7518,49.5001,4.1277
1986-01-03,44009,Washington,9.2334,-0.8549,60.6279,3.4521
1986-01-04,44009,Washington,5.1764,-5.0986,41.2703,3.8248
1986-01-05,44009,Washington,7.7867,-3.5099,59.3406,5.4208
1986-01-06,44009,Washington,2.1366,-5.9006,38.897,8.5614
1986-01-07,44009,Washington,-1.5537,-12.2182,31.36,6.5406
1986-01-08,44009,Washington,-3.4201,-15.0746,39.8504,6.2872
1986-01-09,44009,Washington,2.8615,-10.0999,46.8377,8.0148
1986-01-10,44009,Washington,5.8764,-2.9633,42.0714,5.7543
1986-01-11,44009,Washington,2.4615,-5.3037,40.232,3.1372
1986-01-12,44009,Washington,8.0296,-4.7895,55.6977,6.2187
1986-01-13,44009,Washington,6.9767,-3.8168,49.4434,3.5854
1986-01-14,44009,Washington,0.2572,-11.6124,24.7014,5.5052
1986-01-15,44009,Washington,-5.3766,-16.4475,31.1843,6.4214
1986-01-16,44009,Washington,1.2656,-10.1248,34.5744,2.5297
1986-01-17,44009,Washington,9.0715,-5.6277,57.7339,3.7645
1986-01-18,44009,Washington,9.6556,0.5224,60.7545,3.2314
1986-01-19,44009,Washington,13.959,0.5793,71.5537,3.7765
1986-01-20,44009,Washington,13.1492,1.2454,63.5836,4.9383
1986-01-21,44009,Washington,7.9691,-1.3298,51.3071,4.5186
1986-01-22,44009,Washington,10.3123,-1.7586,54.9867,3.703
1986-01-23,44009,Washington,6.6431,-4.7799,35.3055,3.8713
1986-01-24,44009,Washington,-0.0367,-8.5341,37.0017,4.2555
1986-01-25,44009,Washington,6.0895,-8.4081,61.2258,6.5045
1986-01-26,44009,Washington,8.65,1.6101,67.1093,6.1009
1986-01-27,44009,Washington,9.547,-2.2054,63.1376,3.9435
1986-01-28,44009,Washington,2.5746,-11.1917,42.2689,6.9654
1986-01-29,44009,Washington,-1.7998,-12.079,48.0557,3.2732
1986-01-30,44009,Washington,-0.8953,-8.5139,55.2863,4.4328
1986-01-31,44009,Washington,0.7994,-8.54,51.656,5.3065
1986-02-01,44009,Washington,2.0833,-8.0529,55.5225,2.7698
1986-02-02,44009,Washington,6.6602,-2.194,66.9621,4.8769
1986-02-03,44009,Washington,2.3885,-4.6873,53.108,3.085
1986-02-04,44009,Washington,3.1518,-4.8912,63.4758,4.2382
1986-02-05,44009,Washington,5.2622,-1.3573,70.2489,2.4285
1986-02-06,44009,Washington,2.6995,-7.9003,49.6202,4.7435
1986-02-07,44009,Washington,-0.8321,-10.054,64.4651,5.5656
1986-02-08,44009,Washington,0.9039,-6.1583,63.7488,2.4404
1986-02-09,44009,Washington,1.3446,-7.7971,60.2871,3.6032
1986-02-10,44009,Washington,3.0698,-5.5897,58.7371,2.9886
1986-02-11,44009,Washington,0.7757,-5.3562,67.0889,4.0486
1986-02-12,44009,Washington,-0.3966,-8.9141,55.0907,4.8676
1986-02-13,44009,Washington,-2.157,-10.1788,54.5883,5.824
1986-02-14,44009,Washington,0.7035,-10.2207,62.0298,4.0845
1986-02-15,44009,Washington,0.8425,-6.2525,60.4293,4.2985
1986-02-16,44009,Washington,-0.3379,-9.2443,56.8819,3.7167
1986-02-17,44009,Washington,3.8575,-4.8266,74.8892,2.9641
1986-02-18,44009,Washington,4.1588,-1.3131,72.5771,3.4954
1986-02-19,44009,Washington,3.7987,-1.6167,68.2301,3.5855
1986-02-20,44009,Washington,3.997,-1.7892,68.4374,3.3289
1986-02-21,44009,Washington,7.6696,-1.4951,73.9328,3.3273
1986-02-22,44009,Washington,5.8636,-2.9925,48.4043,4.3906
1986-02-23,44009,Washington,4.1801,-2.553,55.1011,2.2049
1986-02-24,44009,Washington,3.8439,-4.0179,48.2082,2.4007
1986-02-25,44009,Washington,1.95,-6.2586,48.4769,5.2686
1986-02-26,44009,Washington,-2.3206,-10.705,38.6192,6.8371
1986-02-27,44009,Washington,0.4717,-9.3808,33.2353,2.9883
1986-02-28,44009,Washington,2.2483,-8.7122,45.0086,4.3966
1986-03-01,44009,Washington,4.7462,-5.4385,40.9246,2.7524
1986-03-02,44009,Washington,4.4298,-3.4573,44.077,3.6562
1986-03-03,44009,Washington,6.2195,-2.986,46.8736,1.4011
1986-03-04,44009,Washington,7.5992,-1.2361,53.1869,1.0002
1986-03-05,44009,Washington,9.3404,-0.3849,48.9764,2.6561
1986-03-06,44009,Washington,6.8296,-1.3192,58.3758,3.4476
1986-03-07,44009,Washington,5.6925,-10.5761,34.5211,10.1052
1986-03-08,44009,Washington,-2.4182,-15.5797,35.8843,6.477
1986-03-09,44009,Washington,5.9766,-8.6522,54.9433,3.6634
1986-03-10,44009,Washington,9.5951,-1.4876,62.0759,4.2301
1986-03-11,44009,Washington,16.9375,-0.9356,51.3776,6.9302
1986-03-12,44009,Washington,7.8806,-3.282,50.5294,2.1042
1986-03-13,44009,Washington,8.3031,0.2814,69.9369,3.4296
1986-03-14,44009,Washington,11.54,1.4383,76.2005,2.3591
1986-03-15,44009,Washington,14.2964,4.2837,57.3666,3.5186
1986-03-16,44009,Washington,12.5209,2.6923,59.5638,1.6174
1986-03-17,44009,Washington,10.7215,1.1003,53.1422,1.9779
1986-03-18,44009,Washington,10.7926,1.0851,51.9335,2.9329
1986-03-19,44009,Washington,13.8227,0.6601,76.7852,7.594
1986-03-20,44009,Washington,12.3156,-5.2812,44.5886,6.0788
1986-03-21,44009,Washington,-0.3082,-10.2485,34.0535,3.3087
1986-03-22,44009,Washington,4.0675,-6.4695,36.4863,2.0546
1986-03-23,44009,Washington,7.9802,-3.604,49.4035,3.1785
1986-03-24,44009,Washington,9.9076,-1.962,43.2451,4.4655
1986-03-25,44009,Washington,11.2973,-1.5816,49.3905,4.4693
1986-03-26,44009,Washington,17.9315,2.6907,55.7987,6.0707
1986-03-27,44009,Washington,17.0859,5.2875,61.3153,3.3158
1986-03-28,44009,Washington,14.2164,3.7075,52.6331,3.5179
1986-03-29,44009,Washington,16.5389,2.0973,51.332,5.4034
1986-03-30,44009,Washington,18.2437,3.236,48.6676,4.5844
1986-03-31,44009,Washington,19.6989,5.3129,36.1117,2.768
1986-04-01,44009,Washington,17.3534,3.4926,47.8402,2.5378
1986-04-02,44009,Washington,20.7734,3.3022,53.8784,2.8133
1986-04-03,44009,Washington,13.7541,2.3268,46.4277,2.6677
1986-04-04,44009,Washington,11.2354,-0.0195,68.4295,2.1213
1986-04-05,44009,Washington,11.0167,1.4788,57.8497,4.5923
1986-04-06,44009,Washington,8.5169,1.1173,77.0297,5.1187
1986-04-07,44009,Washington,17.5933,5.2935,65.4084,1.7069
1986-04-08,44009,Washington,14.4334,5.9547,74.9626,2.4292
1986-04-09,44009,Washington,12.7266,3.2322,60.8961,2.6115
1986-04-10,44009,Washington,11.076,3.9683,57.359,4.2105
1986-04-11,44009,Washington,7.7512,1.4947,60.0427,3.1938
1986-04-12,44009,Washington,9.8106,2.3971,57.3796,2.8673
1986-04-13,44009,Washington,12.1038,-0.2596,54.6368,2.8741
1986-04-14,44009,Washington,15.0017,1.6894,52.6626,1.2893
1986-04-15,44009,Washington,15.387,2.5125,51.9934,1.8652
1986-04-16,44009,Washington,12.6897,4.4474,61.4299,4.8244
1986-04-17,44009,Washington,13.3848,4.217,59.6044,5.9037
1986-04-18,44009,Washington,12.188,1.953,62.5694,7.4975
1986-04-19,44009,Washington,13.596,0.1895,45.4662,4.8633
1986-04-20,44009,Washington,16.3418,0.0252,42.4639,1.7724
1986-04-21,44009,Washington,14.1312,4.6846,82.4258,3.9577
1986-04-22,44009,Washington,16.5274,7.6982,63.6987,1.8449
1986-04-23,44009,Washington,10.9021,3.2156,73.5233,5.0486
1986-04-24,44009,Washington,12.7229,3.0696,61.7573,4.4131
1986-04-25,44009,Washington,16.6081,3.8873,69.2059,5.7562
1986-04-26,44009,Washington,18.3752,6.83,69.5971,2.3519
1986-04-27,44009,Washington,17.0541,8.853,71.4314,3.4798
1986-04-28,44009,Washington,18.5457,9.1201,67.078,2.0976
1986-04-29,44009,Washington,19.4533,8.1465,66.276,1.8933
1986-04-30,44009,Washington,18.4014,9.214,65.8707,1.4015
1986-05-01,44009,Washington,18.8389,7.5596,62.6555,3.6377
1986-05-02,44009,Washington,15.766,4.0328,51.9822,5.1678
1986-05-03,44009,Washington,11.4338,2.307,41.1085,5.1818
1986-05-04,44009,Washington,12.1527,-0.1088,46.3164,4.0603
1986-05-05,44009,Washington,20.726,5.221,55.8723,4.8913
1986-05-06,44009,Washington,23.9921,9.2504,52.0285,2.1221
1986-05-07,44009,Washington,19.8315,7.8505,63.0206,2.2607
1986-05-08,44009,Washington,15.2214,5.4043,64.4727,4.439
1986-05-09,44009,Washington,12.7961,2.7653,57.4763,5.5817
1986-05-10,44009,Washington,17.9189,1.6422,45.1936,3.1256
1986-05-11,44009,Washington,13.6864,2.3444,56.5223,3.6525
1986-05-12,44009,Washington,11.7845,2.9684,64.8475,5.2374
1986-05-13,44009,Washington,18.4742,5.6854,44.9402,2.3386
1986-05-14,44009,Washington,17.9774,5.6718,50.8877,2.0146
1986-05-15,44009,Washington,18.0845,5.2319,56.4157,1.7376
1986-05-16,44009,Washington,18.5942,6.1033,71.1834,3.1064
1986-05-17,44009,Washington,24.9154,11.2742,66.0898,2.9663
1986-05-18,44009,Washington,27.5,14.7557,56.3761,2.1757
1986-05-19,44009,Washington,26.3141,13.0921,62.2137,3.9833
1986-05-20,44009,Washington,23.5435,11.4595,69.7338,3.6387
1986-05-21,44009,Washington,21.2622,13.7966,71.516,3.2396
1986-05-22,44009,Washington,22.5783,13.3425,69.6885,2.2908
1986-05-23,44009,Washington,23.7745,13.7177,64.9788,1.2916
1986-05-24,44009,Washington,22.709,13.2164,57.1369,3.2311
1986-05-25,44009,Washington,20.3863,12.2968,63.9281,2.5374
1986-05-26,44009,Washington,20.4741,8.21,61.5454,3.4631
1986-05-27,44009,Washington,21.6071,7.0577,67.7183,3.033
1986-05-28,44009,Washington,26.6691,14.0145,53.5422,3.9964
1986-05-29,44009,Washington,25.8474,10.9985,50.882,2.9572
1986-05-30,44009,Washington,29.9158,14.6898,54.7815,3.5698
1986-05-31,44009,Washington,29.2452,16.2218,58.0086,2.224
